DATE,GAME_ID,TEAM,TEAM_LVL,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2022-10-20,22200016,L.A. Lakers,중위팀,201976,G,33.03333333333333,1,7,0.143,1,6,0.167,2,2,1.0,1,1.0,2,1,2,2,2,4,5,7
2022-10-20,22200016,L.A. Lakers,중위팀,203076,C,31.933333333333334,9,16,0.563,2,4,0.5,5,7,0.714,2,6.0,8,0,2,0,2,2,25,5
2022-10-20,22200016,L.A. Lakers,중위팀,2544,F,36.666666666666664,7,17,0.412,2,8,0.25,4,6,0.667,2,8.0,10,6,1,2,2,3,20,-1
2022-10-20,22200016,L.A. Lakers,중위팀,1629308,0,21.633333333333333,3,7,0.429,1,4,0.25,1,1,1.0,0,4.0,4,3,1,0,1,2,8,-2
2022-10-20,22200016,L.A. Clippers,,202695,0,21.283333333333335,6,12,0.5,1,4,0.25,1,2,0.5,1,6.0,7,2,1,0,2,3,14,5
2022-10-20,22200016,L.A. Clippers,,1629611,0,5.583333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,0,0,0,0
2022-10-20,22200016,L.A. Clippers,,203496,0,14.483333333333333,0,3,0.0,0,2,0.0,2,2,1.0,0,4.0,4,2,0,2,0,2,2,-3
2022-10-20,22200016,L.A. Clippers,,201587,0,10.316666666666666,0,0,0.0,0,0,0.0,1,2,0.5,1,4.0,5,0,0,0,0,1,1,-5
2022-10-20,22200016,L.A. Clippers,,202322,0,24.533333333333335,7,15,0.467,0,4,0.0,1,3,0.333,0,4.0,4,3,1,0,3,3,15,-3
2022-10-20,22200016,L.A. Clippers,,202704,G,23.466666666666665,3,9,0.333,1,3,0.333,1,2,0.5,0,1.0,1,4,1,0,2,0,8,9
2022-10-20,22200016,L.A. Clippers,,1626181,G,21.75,2,8,0.25,1,3,0.333,4,7,0.571,0,4.0,4,0,1,0,4,3,9,-12
2022-10-20,22200016,L.A. Clippers,,1627826,C,35.36666666666667,6,6,1.0,0,0,0.0,2,4,0.5,6,11.0,17,1,0,5,5,2,14,13
2022-10-20,22200016,L.A. Lakers,중위팀,1629022,F,36.583333333333336,9,21,0.429,2,9,0.222,6,6,1.0,1,2.0,3,3,2,0,1,3,26,-4
2022-10-20,22200016,L.A. Clippers,,202694,F,22.966666666666665,5,9,0.556,1,3,0.333,3,3,1.0,1,3.0,4,1,1,0,1,2,14,11
2022-10-21,22200020,Atlanta,중위팀,1629631,F,32.53333333333333,5,12,0.417,1,3,0.333,1,1,1.0,0,6.0,6,1,0,0,1,3,12,6
2022-10-21,22200020,Atlanta,중위팀,1628381,F,36.233333333333334,9,14,0.643,3,4,0.75,2,2,1.0,3,10.0,13,0,3,1,2,4,23,26
2022-10-21,22200020,Atlanta,중위팀,203991,C,31.616666666666667,4,6,0.667,0,0,0.0,0,0,0.0,0,7.0,7,0,2,1,0,1,8,6
2022-10-21,22200020,Atlanta,중위팀,1627749,G,39.61666666666667,8,16,0.5,2,5,0.4,2,2,1.0,1,8.0,9,9,4,0,7,2,20,17
2022-10-21,22200020,Atlanta,중위팀,1628988,0,14.366666666666667,2,3,0.667,0,0,0.0,0,0,0.0,0,2.0,2,1,0,0,0,2,4,0
2022-10-21,22200020,Atlanta,중위팀,1630168,0,16.383333333333333,1,2,0.5,0,0,0.0,1,2,0.5,2,1.0,3,0,0,0,1,4,3,4
2022-10-21,22200020,Atlanta,중위팀,203200,0,20.116666666666667,3,8,0.375,3,6,0.5,0,0,0.0,0,1.0,1,2,1,0,0,2,9,2
2022-10-21,22200020,Atlanta,중위팀,1630552,0,11.766666666666667,1,4,0.25,0,2,0.0,2,2,1.0,1,0.0,1,0,0,0,0,1,4,-16
2022-10-21,22200021,Toronto,중위팀,1628384,F,37.25,3,9,0.333,2,4,0.5,2,2,1.0,1,4.0,5,1,1,1,3,4,10,4
2022-10-21,22200020,Orlando,하위팀,1630284,0,0.6333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,0,0,0,2
2022-10-21,22200020,Atlanta,중위팀,1629027,G,37.36666666666667,7,24,0.292,4,11,0.364,7,7,1.0,2,2.0,4,13,0,0,6,3,25,5
2022-10-21,22200020,Orlando,하위팀,1630181,0,16.383333333333333,1,3,0.333,0,1,0.0,0,0,0.0,0,0.0,0,2,0,0,2,2,2,-5
2022-10-21,22200020,Orlando,하위팀,1630532,F,35.61666666666667,4,10,0.4,0,3,0.0,0,0,0.0,3,4.0,7,3,4,0,3,3,8,-8
2022-10-21,22200020,Orlando,하위팀,1628964,0,15.05,2,6,0.333,1,3,0.333,2,2,1.0,1,5.0,6,2,0,0,1,1,7,2
2022-10-21,22200020,Orlando,하위팀,1629643,0,14.366666666666667,1,2,0.5,1,2,0.5,0,0,0.0,0,1.0,1,0,0,0,0,0,3,0
2022-10-21,22200020,Orlando,하위팀,1630175,0,28.483333333333334,8,12,0.667,4,5,0.8,5,7,0.714,0,0.0,0,2,1,1,2,1,25,-1
2022-10-21,22200020,Orlando,하위팀,1630591,G,15.833333333333334,1,5,0.2,0,3,0.0,1,3,0.333,1,1.0,2,1,3,0,3,3,3,-6
2022-10-21,22200020,Orlando,하위팀,203082,G,35.3,4,8,0.5,1,4,0.25,2,2,1.0,1,3.0,4,2,0,1,1,4,11,-8
2022-10-21,22200020,Orlando,하위팀,1628976,C,32.95,4,13,0.308,0,7,0.0,6,7,0.857,1,7.0,8,2,0,0,2,4,14,-12
2022-10-21,22200020,Orlando,하위팀,1631094,F,33.63333333333333,6,18,0.333,1,6,0.167,7,8,0.875,2,10.0,12,2,1,3,4,1,20,-10
2022-10-21,22200021,Toronto,중위팀,1630567,F,35.88333333333333,7,14,0.5,1,2,0.5,2,2,1.0,2,5.0,7,3,2,1,3,2,17,2
2022-10-21,22200019,Washington,중위팀,1630264,0,10.616666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,1.0,1,1,0,0,0,2,2,2
2022-10-21,22200019,Washington,중위팀,1629655,0,17.75,1,1,1.0,0,0,0.0,0,0,0.0,0,2.0,2,0,1,1,3,4,2,-15
2022-10-21,22200019,Washington,중위팀,203115,0,17.283333333333335,3,6,0.5,0,1,0.0,0,0,0.0,1,4.0,5,1,1,0,1,1,6,-5
2022-10-21,22200020,Orlando,하위팀,1629626,0,11.75,2,3,0.667,0,0,0.0,1,1,1.0,1,2.0,3,0,0,2,1,0,5,-4
2022-10-21,22200021,Toronto,중위팀,1627783,C,36.8,15,21,0.714,2,6,0.333,5,9,0.556,2,10.0,12,11,0,0,3,4,37,2
2022-10-21,22200021,Brooklyn,중위팀,202681,G,40.56666666666667,11,24,0.458,5,13,0.385,3,3,1.0,1,0.0,1,7,0,1,2,4,30,22
2022-10-21,22200021,Toronto,중위팀,1627832,G,37.93333333333333,7,11,0.636,4,6,0.667,0,0,0.0,1,6.0,7,9,4,1,0,3,18,3
2022-10-21,22200022,Miami,상위팀,1629639,G,36.1,10,21,0.476,2,6,0.333,3,3,1.0,0,6.0,6,3,0,2,1,3,25,-1
2022-10-21,22200022,Miami,상위팀,1628389,C,34.86666666666667,8,11,0.727,0,0,0.0,3,4,0.75,3,5.0,8,5,2,0,5,4,19,20
